App_ID,SPDI_Category,SPDI_Records_Exposed,Primary_Vulnerability,Rule_8_ISO27001_Audited,Rule_8_Encryption_Active,Rule_5_Explicit_Consent,Rule_5_Grievance_Mechanism,BCP_IR_Plan_Tested,Operational_Loss_INR,Statutory_Fine_INR,Total_Liability_INR,Penalty_Mitigation_Percentage,Insurance_Readiness_Score
APP_NLIU_0001,Rule_3_ii_Financial_Data,458814,CSRF,0,1,0,0,1,1101153600.0,172055250.0,1273208850.0,25.0,45.0
APP_NLIU_0002,Multi_Category_SPDI,1691051,XSS,1,1,1,1,0,3720312200.0000005,169105099.99999997,3889417300.0000005,80.0,80.0
APP_NLIU_0003,Rule_3_iii_v_Health_Medical_Records,901881,,0,1,1,1,0,1803762000.0,270564300.0,2074326300.0,40.0,40.0
APP_NLIU_0004,Rule_3_iii_v_Health_Medical_Records,1605548,CSRF,0,1,1,0,1,3853315200.0,602080500.0,4455395700.0,25.0,45.0
APP_NLIU_0005,Rule_3_i_Passwords,1646455,,0,0,0,1,0,3292910000.0,823227500.0,4116137500.0,0.0,0.0
APP_NLIU_0006,Rule_3_i_Passwords,1435541,SQL_Injection,0,1,1,1,1,4306623000.0,430662300.0,4737285300.0,40.0,60.0
APP_NLIU_0007,Rule_3_i_Passwords,738082,,1,0,1,1,1,1476164000.0,166068449.99999997,1642232450.0,55.00000000000001,75.0
APP_NLIU_0008,Multi_Category_SPDI,269826,,0,0,0,1,0,539652000.0,134913000.0,674565000.0,0.0,0.0
APP_NLIU_0009,Rule_3_iii_v_Health_Medical_Records,1164762,SSRF,1,1,1,1,1,3261333600.0,116476199.99999997,3377809800.0,80.0,100.0
APP_NLIU_0010,Rule_3_iii_v_Health_Medical_Records,772469,XSS,1,0,0,1,1,1699431800.0000002,231740700.0,1931172500.0000002,40.0,60.0
APP_NLIU_0011,Rule_3_i_Passwords,1599696,SSRF,1,1,1,1,0,4479148800.0,159969599.99999997,4639118400.0,80.0,80.0
APP_NLIU_0012,Multi_Category_SPDI,1594861,,0,0,1,1,1,3189722000.0,677815925.0,3867537925.0,15.0,35.0
APP_NLIU_0013,Rule_3_vi_Biometric_Information,1350360,XSS,0,0,1,0,0,2970792000.0000005,675180000.0,3645972000.0000005,0.0,0.0
APP_NLIU_0014,Rule_3_ii_Financial_Data,1523674,Exception_Handling_Failure,0,1,1,1,1,4113919800.0000005,457102200.0,4571022000.0,40.0,60.0
APP_NLIU_0015,Rule_3_i_Passwords,1094067,SSRF,0,0,1,1,1,3063387600.0,464978475.0,3528366075.0,15.0,35.0
APP_NLIU_0016,Rule_3_i_Passwords,1116619,SSRF,1,0,1,0,1,3126533200.0,334985700.0,3461518900.0,40.0,60.0
APP_NLIU_0017,Rule_3_ii_Financial_Data,903607,SQL_Injection,0,1,1,1,0,2710821000.0,271082100.0,2981903100.0,40.0,40.0
APP_NLIU_0018,Rule_3_iii_v_Health_Medical_Records,1182144,CSRF,0,0,1,1,0,2837145600.0,502411200.0,3339556800.0,15.0,15.0
APP_NLIU_0019,Rule_3_ii_Financial_Data,1429970,XSS,1,0,1,0,1,3145934000.0000005,428991000.0,3574925000.0000005,40.0,60.0
APP_NLIU_0020,Rule_3_ii_Financial_Data,1650589,,1,1,1,0,1,3301178000.0,288853075.0,3590031075.0,65.0,85.0
APP_NLIU_0021,Rule_3_iii_v_Health_Medical_Records,133131,Exception_Handling_Failure,0,0,1,0,1,359453700.0,66565500.0,426019200.0,0.0,20.0
APP_NLIU_0022,Rule_3_i_Passwords,1099096,XSS,0,1,1,1,1,2418011200.0,329728800.0,2747740000.0,40.0,60.0
APP_NLIU_0023,Rule_3_ii_Financial_Data,330063,,0,0,1,1,1,660126000.0,140276775.0,800402775.0,15.0,35.0
APP_NLIU_0024,Rule_3_ii_Financial_Data,639157,,1,0,1,1,0,1278314000.0,143810325.0,1422124325.0,55.00000000000001,55.00000000000001
APP_NLIU_0025,Rule_3_ii_Financial_Data,593730,,1,1,0,1,1,1187460000.0,103902750.0,1291362750.0,65.0,85.0
APP_NLIU_0026,Rule_3_vi_Biometric_Information,1838889,XSS,1,1,1,1,1,4045555800.0000005,183888899.99999997,4229444700.0000005,80.0,100.0
APP_NLIU_0027,Rule_3_i_Passwords,1206418,CSRF,1,0,0,1,0,2895403200.0,361925400.0,3257328600.0,40.0,40.0
APP_NLIU_0028,Rule_3_iii_v_Health_Medical_Records,372390,SQL_Injection,1,1,1,1,1,1117170000.0,37238999.99999999,1154409000.0,80.0,100.0
APP_NLIU_0029,Rule_3_iii_v_Health_Medical_Records,1756434,,0,0,0,1,1,3512868000.0,878217000.0,4391085000.0,0.0,20.0
APP_NLIU_0030,Rule_3_i_Passwords,1425407,SQL_Injection,1,0,0,1,0,4276221000.0,427622100.0,4703843100.0,40.0,40.0
APP_NLIU_0031,Rule_3_iii_v_Health_Medical_Records,527485,CSRF,1,1,0,1,0,1265964000.0,92309875.0,1358273875.0,65.0,65.0
APP_NLIU_0032,Rule_3_i_Passwords,652735,XSS,1,0,1,1,1,1436017000.0,146865375.0,1582882375.0,55.00000000000001,75.0
APP_NLIU_0033,Rule_3_i_Passwords,1639341,XSS,1,1,0,1,0,3606550200.0000005,286884675.0,3893434875.0000005,65.0,65.0
APP_NLIU_0034,Multi_Category_SPDI,529532,Exception_Handling_Failure,1,0,1,1,1,1429736400.0,119144699.99999999,1548881100.0,55.00000000000001,75.0
